data_comp,model,k,dist_metric,user_based,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,TrainingTime,EvaluationTime
UsersEmotions,kNN + MSD,10,MSD,True,0.0788,0.7542,1.9248,10.2882,17.3683,6.0828,16.26,73.66,7.34,0.0,0.0,0.0,0.0,1.4219,383.9214
UsersEmotions,kNN + MSD,10,MSD,False,0.0,0.0113,0.09,1.3507,3.647,1.0198,56.05,96.3,9.86,3.7533,0.0,0.5263,2.2807,0.1875,229.5935
UsersEmotions,kNN + MSD,20,MSD,True,0.0113,0.4502,1.5984,10.0518,16.9406,5.8104,15.18,71.92,7.75,0.0,0.0,0.0,0.0,1.4375,402.8901
UsersEmotions,kNN + MSD,20,MSD,False,0.0,0.0,0.0338,0.7429,2.6565,0.6866,53.9,95.78,10.12,4.2658,0.0,0.7018,2.6316,0.1875,233.031
UsersEmotions,kNN + MSD,40,MSD,True,0.0225,0.3827,1.362,9.7591,16.1751,5.5403,14.92,69.49,7.98,0.0,0.0,0.0,0.0,1.4375,421.6714
UsersEmotions,kNN + MSD,40,MSD,False,0.0,0.0,0.0338,0.3039,1.407,0.3489,51.08,95.3,10.26,5.7108,0.0,0.7018,3.1579,0.1875,234.406

FINAL RESULTS!
data_comp,model,k,dist_metric,user_based,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,TrainingTime,EvaluationTime
UsersEmotions,kNN + MSDRatings,10,MSD,True,0.0685,0.6026,2.3144,11.2435,18.4196,6.5297,0.1521,15.13,71.79,7.31,0.0,0.0,0.0,0.0,1.4219,396.3049
UsersAll,kNN + MSD,10,MSD,True,0.2276,1.5737,3.3225,14.1347,22.0206,8.2558,0.1388,17.58,74.5,3.77,0.0,0.0,0.0,0.0238,20.5937,2793.6373

UsersEmotionsRatings,kNN + MSD,10,MSD,True,0.0685,0.6026,2.3144,11.2435,18.4196,6.5297,0.1521,16.0,72.44,7.33,0.0,0.0,0.0,0.0,1.4375,391.1481
UsersAllRatings,kNN + MSD,10,MSD,True,0.2276,1.5737,3.3225,14.1347,22.0206,8.2558,0.1388,16.57,73.8,3.75,0.0,0.0,0.0,0.0238,20.6128,2806.7471

UsersEmotionsSentiment,kNN + MSD,10,MSD,True,0.0,0.0548,0.1096,0.5478,2.0953,0.5615,0.184,17.13,74.91,9.87,0.0,0.0,0.0,0.0,1.4531,391.9124
UsersAllSentiment,kNN + MSD,10,MSD,True,0.0088,0.1642,0.6238,3.7996,7.516,2.4225,0.0874,29.54,74.02,5.89,3.49,0.0,0.2859,4.0972,16.068,2702.3771
UsersEmotionsCombined,kNN + MSD,10,MSD,True,0.0137,0.0411,0.1643,3.2594,8.4087,2.3774,0.132,15.79,72.99,9.38,0.0,0.0,0.0,0.0,1.4687,392.9261

UsersEmotionsCombined,kNN + MSD,10,MSD,True,0.0137,0.0411,0.1643,3.2457,8.3402,2.361,0.1319,16.31,73.28,9.35,0.0,0.0,0.0,0.0,1.4375,389.2881
UsersAllCombined,kNN + MSD,10,MSD,True,0.1663,1.3023,2.83,12.8215,20.3375,7.4915,0.1375,18.93,78.99,3.93,0.0,0.0,0.0,0.0238,20.6405,2794.3031